smiles,pIC50,MW,LogP,RO5
NC1CCN(Cc2ccn3ncnc(Nc4cccc(F)c4)c23)CC1,7.5,340.41,2.54,0.0
C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,9.02,373.78,3.69,0.0
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(F)c4ccccc34)c3c(N)ncnc32)C1,7.7,416.46,3.72,0.0
Clc1ccc(SCc2n[nH]c(-c3ccc(Cl)cc3)n2)cc1,4.34,336.25,5.07,1.0
CCC(=O)N1CC[C@H](N2C(=O)N(c3cc(OC)ccc3F)Cc3cnc(Nc4ccc(N5CCCN(C)CC5)c(C)c4)nc32)C1,6.68,616.74,4.78,1.0
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCNCCNCC1,8.08,489.0,3.44,0.0
O=C(Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1)C1CCCCC1,8.21,380.88,5.55,1.0
CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)cc4)c3c2)o1,7.62,546.62,5.49,2.0
O=C(Cc1cc(/N=C/c2cc(O)ccc2O)ccc1O)NOCc1ccccc1,4.21,392.41,3.34,0.0
CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,7.8,330.19,3.57,0.0
CN(CC(=O)O)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,6.23,440.3,4.13,0.0
Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2[C@@H]1CCCN(C(=O)/C=C/CN2CCOCC2)C1,6.42,539.64,3.92,1.0
CN(C/C=C/C(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1)CCO,7.13,527.63,3.51,1.0
C=CC(=O)N1CCC[C@H]1Cn1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21,8.64,440.51,4.04,0.0
Fc1cccc(COc2ccc(Nc3cc(-c4ccccc4)ncn3)cc2Cl)c1,5.92,405.86,6.26,1.0
Nc1ncnc(Nc2ccc3c(cnn3Cc3cccc(F)c3)c2)c1/C=N/O,7.92,377.38,3.15,0.0
